org,event_name,event_date,flagship,movable,source
Volta,AI Showcase and Mixer,2026-09-16,yes,yes,https://www.eventbrite.ca/e/ai-showcase-and-mixer-tickets-1995680744830
Volta,Yoga,2026-09-10,no,yes,https://www.eventbrite.ca/e/yoga-tickets-1996833845786
Volta,Yoga,2026-09-24,no,yes,https://www.eventbrite.ca/e/yoga-tickets-1996833845786
Volta,Vibe Coding Meetup,2026-09-21,yes,yes,https://www.eventbrite.ca/e/vibe-coding-meetup-tickets-1998361732737
Volta,Turning Cybersecurity Privacy and AI Governance into a Business Advantage,2026-09-28,yes,yes,https://www.eventbrite.ca/e/turning-cybersecurity-privacy-and-ai-governance-into-a-business-advantage-tickets-1998983989925
Volta,Vibe Coding Meetup,2026-08-17,yes,yes,https://www.eventbrite.ca/e/vibe-coding-meetup-tickets-1995463015596
Tribe Network,Startup Huddle Halifax Session 3,2026-01-29,yes,yes,https://www.eventbrite.ca/e/startup-huddle-halifax-session-3-tribe-network-tickets-1975808662898
